Username,Date,Retweets,Favorites,Message,Hashtags,Mentions
,2016-12-30 11:19:26,0,0,"Third-most popular:  Trump Offering Free One-Way Tickets to Africa & Mexico for Those Who Wanna Leave America https:// apple.news/AJH4sZmibQhmpU D6H3w5pPg ",,
,2016-12-09 11:00:51,3,4,"Donald Trump Giving Out Free One-Way Tickets to Africa & Mexico for Those Who Wants To Leave America http:// thatsfeed.net/4XbZ6oy2ls/202 024 ",,
,2016-12-08 00:00:32,0,0,"Trump Offering Free One-Way Tickets To Africa & Mexico For Those Who Wanna... http:// po.st/s0lqJD",,
,2016-12-06 15:00:32,4,4,"Donald Trump Giving Out Free One-Way Tickets to Africa & Mexico for Those Who Wants To Leave America http:// thatsfeed.net/4XbZ6oy2ls/202 024 ",,
,2016-11-30 10:30:23,5,9,"Donald Trump Giving Out Free One-Way Tickets to Africa & Mexico for Those Who Wants To Leave America http:// thatsfeed.net/4XbZ6oy2ls/202 024 ",,
,2016-11-24 23:36:05,0,0,"Trump Offering Free One-Way Tickets To Africa & Mexico For Those Who Wanna... http:// po.st/wrMUB1",,
,2016-11-24 16:45:15,0,0,"Trump Offering Free One-Way Tickets To Africa &amp; Mexico For Those Who Wanna Leave America http:// fb.me/7ZsfZasqY",,
,2016-11-24 13:03:23,0,0,"Trump Offering Free One-Way Tickets To Africa &amp; Mexico For Those Who Wanna Leave America http:// u3047p8841.newsninjaa.com/trump-offering -free-one-way-tickets-to-africa--mexico-for-those-who-wanna-leave-america/87251  pic.twitter.com/lWtRw8JuB5",,
,2016-11-24 01:54:11,0,0,"Trump Offering Free One-Way Tickets To Africa & Mexico For Those Who Wanna... http:// po.st/wgK361",,
,2016-11-23 14:52:56,0,0,"Trump Offering Free One-Way Tickets to Africa & Mexico for Those Who Wanna Leave America - TRENDING http:// fb.me/2v2QnC3oU",,
,2016-11-23 09:13:06,0,0,"Trump Offering Free One-Way Tickets To Africa & Mexico For Those Who Wanna... http:// po.st/3cTRRi",,
,2016-11-23 04:04:53,0,0,"Trump Offering Free One-Way Tickets to Africa & Mexico for Those Who Wanna Leave America - TRENDING http:// fb.me/xZlbhnAo",,
,2016-11-23 01:51:08,0,0,"Trump Offering Free One-Way Tickets To Africa & Mexico For Those Who Wanna... http:// po.st/lJAs2U",,
,2016-11-22 10:33:19,0,0,"Trump Offering Free One-Way Tickets to Africa & Mexico for Those Who Wanna Leave America - TRENDING http:// fb.me/1KWH23Nsp",,
,2016-11-22 06:25:17,0,0,"Trump Offering Free One-Way Tickets To Africa & Mexico For Those Who Wanna... http:// po.st/b8dqCn",,
,2016-11-21 22:18:09,0,0,"Trump Offering Free One-Way Tickets To Africa & Mexico For Those Who Wanna... http:// po.st/vsTrf3",,
,2016-11-21 17:37:08,0,0,"Trump Offering Free One-Way Tickets To Africa & Mexico For Those Who Wanna... http:// po.st/0ZRD8z",,
,2016-11-21 09:18:02,0,0,"Donald Trump Giving Out Free One-Way Tickets to Africa & Mexico for Those Who Wants To Leave America",,
,2016-11-21 09:00:36,0,0,"Donald Trump Giving Out Free One-Way Tickets to Africa & Mexico for Those Who Wants To Leave America http:// thatsfeed.net/4XbZ6oy2ls/202 024 ",,
,2016-11-21 09:00:36,0,0,"Donald Trump Giving Out Free One-Way Tickets to Africa & Mexico for Those Who Wants To Leave America http:// thatsfeed.net/4XbZ6oy2ls/202 024 ",,
,2016-11-21 07:42:53,4,6,"Donald Trump Giving Out Free One-Way Tickets to Africa & Mexico for Those Who Wants To Leave America http:// thatsfeed.net/4XbZ6oy2ls/202 024  #DonaldTrump",#DonaldTrump,
,2016-11-20 20:49:02,0,0,"Trump Offering Free One-Way Tickets to Africa & Mexico for Those Who Wanna Leave America - TRENDING http:// fb.me/JH0IUyw8",,
,2016-11-20 09:13:16,0,0,"Trump Offering Free One-Way Tickets to Africa & Mexico for Those Who Wanna Leave America - TRENDING http:// fb.me/XTPWMcGK",,
,2016-11-20 06:24:54,0,0,"Breaking news Trump Offering Free One-Way Tickets to Africa & Mexico for Those Who Wanna http:// djybnl.com/2016/11/20/bre aking-news-trump-offering-free-one-way-tickets-to-africa-mexico-for-those-who-wanna-leave-america/  pic.twitter.com/rH83TXkyvr",,
,2016-11-20 06:24:51,0,2,"Breaking news Trump Offering Free One-Way Tickets to Africa & Mexico for Those Who Wanna http:// djybnl.com/2016/11/20/bre aking-news-trump-offering-free-one-way-tickets-to-africa-mexico-for-those-who-wanna-leave-america/  pic.twitter.com/PpRmBu2EoN",,
,2016-11-20 06:24:45,0,0,"Breaking news Trump Offering Free One-Way Tickets to Africa & Mexico for Those Who Wanna http:// djybnl.com/2016/11/20/bre aking-news-trump-offering-free-one-way-tickets-to-africa-mexico-for-those-who-wanna-leave-america/  pic.twitter.com/sLnDSWiC9o",,
,2016-11-20 06:24:42,0,0,"Breaking news Trump Offering Free One-Way Tickets to Africa & Mexico for Those Who Wanna http:// djybnl.com/2016/11/20/bre aking-news-trump-offering-free-one-way-tickets-to-africa-mexico-for-those-who-wanna-leave-america/  pic.twitter.com/6a84Grt5pt",,
