Username,Date,Retweets,Favorites,Message,Hashtags,Mentions
,2016-12-29 02:01:50,5,14,"I hope trump becoming president will inspire Rage Against the Machine to reunite and inspire ppl to take down the government like before",,
,2016-12-03 14:39:47,1,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// heaviermetal.net/rage-against-t he-machine-to-reunite-release-donald-trump-diss-album ",,
,2016-11-20 00:53:58,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// heaviermetal.net/rage-against-t he-machine-to-reunite-release-donald-trump-diss-album  via @Heavier Metal",,@Heavier
,2016-11-19 16:00:08,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/8gWXgp9OG",,
,2016-11-18 13:52:38,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// heaviermetal.net/rage-against-t he-machine-to-reunite-release-donald-trump-diss-album  via @Heavier Metal",,@Heavier
,2016-11-18 11:48:10,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/7rOCYbLg1",,
,2016-11-18 10:51:47,1,1,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/1FR9zYJK9",,
,2016-11-18 09:58:14,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/1Gzq2uien",,
,2016-11-18 09:54:29,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/1BHadPXJa",,
,2016-11-18 00:06:35,2,3,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/1AUzTUZ07",,
,2016-11-17 23:36:04,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/49o5snwFk",,
,2016-11-17 23:22:38,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/38CeK0K1b",,
,2016-11-17 22:35:26,0,1,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/v8u7v8Xm",,
,2016-11-17 21:25:04,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/Q9bf5Efm",,
,2016-11-17 20:51:27,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// heaviermetal.net/rage-against-t he-machine-to-reunite-release-donald-trump-diss-album ",,
,2016-11-17 19:53:18,1,1,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// heaviermetal.net/rage-against-t he-machine-to-reunite-release-donald-trump-diss-album  via @Heavier Metal",,@Heavier
,2016-11-17 19:17:31,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/61OBXSZGN",,
,2016-11-17 17:00:46,0,1,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/5UW7CUE3p",,
,2016-11-17 16:50:49,0,0,"RAGE AGAINST THE MACHINE To Reunite And Release Anti Donald Trump Album http:// fb.me/3CLzxazr3",,
