Username,Date,Retweets,Favorites,Message,Hashtags,Mentions
,2016-12-27 21:28:54,3,1,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-26 08:22:26,2,0,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-25 14:19:47,0,0,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-24 04:57:04,0,0,"FBI Agent Suspected in Hillary Email Leaks Found Dead in Apparent Murder-Suicide http:// denverguardian.com/2016/11/05/fbi -agent-suspected-hillary-email-leaks-found-dead-apparent-murder-suicide/ ",,
,2016-12-23 00:11:36,0,1,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-21 05:17:44,0,0,"RT @ConservativeMag : FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// flip.it/yiMebo "Suicide"",,@ConservativeMag
,2016-12-21 05:04:02,1,0,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-17 04:19:10,1,0,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-16 08:16:48,0,0,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-13 07:07:48,0,0,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-12 00:01:52,2,1,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-09 01:51:16,0,0,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-07 13:15:24,0,0,". @planetmoney sigue el rastro digital de una nota falsa: " FBI Agent Suspected In Hillary Email Leaks Found Dead In Apparent Murder-Suicide." pic.twitter.com/qVbXvnniH9",,@planetmoney
,2016-12-04 14:06:13,1,1,"FBI Agent Involved in Hillary E-Mail Leaks Found Dead in Apparent Murder-Suicide http:// bit.ly/2ee6awy #TeaParty #tcot",#TeaParty #tcot,
,2016-12-04 12:11:04,3,1,"FBI Agent Suspected in Hillary Email Leaks Found Dead in Apparent Murder-Suicide http:// denverguardian.com/2016/11/05/fbi -agent-suspected-hillary-email-leaks-found-dead-apparent-murder-suicide/?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter  pic.twitter.com/6GcfRDVBid",,
,2016-12-04 01:15:51,0,0,"FBI Agent Suspected in Hillary Email Leaks Found Dead in Apparent Murder-Suicide http:// enabon.com/fbi-agent-susp ected-hillary-email-leaks-found-dead-apparent-murder-suicide/  via @",,@
