Username,Date,Retweets,Favorites,Message,Hashtags,Mentions
,2016-12-30 17:01:26,0,0,"Top fake news headlines of 2016: President Obama Confirms He Will Refuse To Leave Office If Trump Is Elected #fakenews",#fakenews,
,2016-12-30 08:35:09,0,0,"hold on till Trump is in unless Obama inspired by Pearl Harbor visit will refuse to leave to leave office . #Russia invades",#Russia,
,2016-12-30 08:25:26,0,1,"Trump looks mad over Obama starting a shooting war with Russia. Maybe if Obama refuses to leave office due to war will please U",,
,2016-12-29 16:25:23,0,0,"Maybe Obama will just refuse to leave the office to trump and save America from crazy Trump",,
,2016-12-16 19:15:17,0,0,"Trump is undemocratic! Obama has to refuse to leave office ! I've seen that before Presidents refusing to step down. But where? https:// twitter.com/JenaFriedman/s tatus/809856031048302594 ",,
,2016-12-16 15:17:00,0,0,"These people need to leave Obama alone! What is he supposed to do? He cant say he just won't let Trump take office .",,
,2016-12-16 06:10:22,0,0,"Obama On Russian Hacking: 'We Need To Take Action. And We Will' - NPR Do it O b4u leave office as u no Trump won't https:// apple.news/Alg0o3YmyRYiST 112RmNNlw ",,
,2016-12-12 18:35:39,0,0,"President Obama Will Refuse to Leave Office if Trump is Elected-Fiction! https://www. truthorfiction.com/president-obam a-will-refuse-leave-office-trump-elected/#.WE80RiHewUY.twitter ",#,
,2016-12-10 02:10:10,0,0,"Obama refuses to leave office I cannot in good conscience cede the presidency to Donald Trump  http://www. newyorkjournal.us/obama-refusing -to-leave-office-i-cannot-in-good-conscience-cede-the-presidency-to-donald-trump/  What the I knew it!",,
,2016-12-09 20:50:11,0,0,"Remember when Obama said if Trump was elected he would refuse to leave office",,
,2016-12-09 19:58:58,0,0,"Here's a ripe tale: President Obama Confirms He Will Refuse To Leave Office If Trump Is Elected http://www. burrardstreetjournal.com/obama-refusing -to-leave-if-trump-elected/ ",,
,2016-12-06 16:17:21,0,0,"So NC is a role model... Obama just has to stay in office ( refuse to leave )... Trump will refuse to share. Problem solved.",,
,2016-12-04 13:01:50,0,0,"President Obama Confirms He Will Refuse To Leave Office If Trump Is Elected https:// goo.gl/t29XTs",,
,2016-12-03 08:38:53,0,0,"Obama needs to not leave office . Do you think trump won't tear up any executive order he finds?",,
,2016-12-02 21:43:43,0,0,"#President Obama Confirms He Will Refuse To Leave Office If Trump Is Elected http:// obama.trendolizer.com/2016/12/presid ent-obama-confirms-he-will-refuse-to-leave-office-if-trump-is-elected-5.html ",#President,
,2016-12-01 20:56:45,2,1,"OBAMA say HE WILL REFUSE TO LEAVE OFFICE IF TRUMP ELECTED https:// youtu.be/XKDTkwTm5VQ via @YouTube #Scifi #Social #Student #American #Christian",#Scifi #Social #Student #American #Christian,@YouTube
,2016-11-29 02:01:45,3,0,"President Obama Confirms He Will Refuse To Leave Office If Trump Is Elected  Maine Republic Email Alert https://www. google.com/amp/s/mainerep ublicemailalert.com/2016/09/11/president-obama-confirms-he-will-refuse-to-leave-office-if-trump-is-elected/amp/?client=safari ",,
,2016-11-23 00:06:59,1,5,"bad things about 2016: -everyones dying -election 2016 - trump good things about 2016: - obama won't leave office until next year",,
,2016-11-22 17:23:31,0,0,"@angela_rye Remember ' Obama won't leave office '? Trump didn't release taxes won't divest assets and dodges press corp. Who's the 'king'?",,@angela_rye
