Username,Date,Retweets,Favorites,Message,Hashtags,Mentions
,2016-12-30 17:31:42,2,3,"Is this still America or did Obama change our country to Allah Akbar?Stop the ISLAM KORAN crap.DOES HE pledge Allegiance ?",,
,2016-12-30 17:00:23,0,0,"Top fake news headlines of 2016: " Obama Signs Executive Order Banning The Pledge Of Allegiance In Schools Nationwide" #fakenews",#fakenews,
,2016-12-30 16:06:26,0,0,"Huh? Since when do Americans pledge allegiance to Israel or any foreign country. obama betrayed an ally and defied US policy.",,
,2016-12-30 13:32:57,0,0,"Obama Signs Executive Order Banning The Pledge Of Allegiance In Schools Nationwide http:// abcnews.com.co/obama-executiv e-order-bans-pledge-of-allegiance-in-schools/  via @ABC News",,@ABC
,2016-12-30 11:18:36,0,0,"Jimmy Carter was also inept but he did love America. Obama didn't even know how to pledge allegiance .",,
,2016-12-29 19:08:21,0,1,"I pledge allegiance to the United States of America and our way of life even with idiots like Obama ! Never will I pledge allegiance to a UN https:// twitter.com/ettieeden/stat us/814592362416668673 ",,
,2016-12-29 15:27:27,0,0,"This Lousy SomBitch Commi Pinko" Obama Signs Executive Order Banning Th Pledge Of Allegiance in Schools Nationwide" http:// abcnews.com.co/obama-executiv e-order-bans-pledge-of-allegiance-in-schools/ ",,
,2016-12-28 13:58:06,0,0,"How can Obama say the pledge of allegiance onr nation under God then hes not going repeal the 2 state solution instead he golfs in Hawaii",,
,2016-12-28 07:39:11,0,0,"Mr Cain today is National Pledge of Allegiance Day will Pres Obama recognize it?Your thoughts.",,
,2016-12-27 22:45:45,0,0,"oh wait you have to pledge allegiance to Iran like Obama did. Otherwise 30+ honorary PhDs doesn't matter",,
,2016-12-25 13:30:51,4,6,"piece of crap 2 stupid 2 know the Pledge Of Allegiance I will bet u THEE obama doesn't know it either https:// twitter.com/EntheosShines/ status/757622888497287169 ",,
,2016-12-23 19:09:15,0,1,"@sunnyherring1 @LeeMares Obama Pledge of Allegiance :"One nation under allah divisible with welfare & healthcare for all."",,@sunnyherring1 @LeeMares
,2016-12-23 18:22:50,0,0,"Oct. 6 2016 -Barack Obama Signs Executive Order REMOVING Pledge of Allegiance From U.S. Schools!? http:// lsh.re/17URV #USA #America",#USA #America,
,2016-12-23 15:07:34,0,0,""I pledge allegiance to Obama " https:// m.youtube.com/watch?v=51kAw4 OTlA0 ",,
,2016-12-23 11:31:51,0,0,"huh? Really no difference b/n "BREAKING: Obama Bans Pledge of Allegiance " and above?",,
,2016-12-22 10:38:14,0,1,"Obama 's Political Correctness is DEAD.I like bacon--pig--Christmas In god we trust--You can say the pledge of allegiance --No Muslim prayers https:// twitter.com/Workers4Trump/ status/811957128688648192 ",,
